open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy__quote_volume,ignore,premium_index_open,premium_index_high,premium_index_low,premium_index_close
1682899200000,29223.0,29287.4,29198.2,29287.4,5229.563,1682899499999,152921782.4879,39272,2962.891,86646844.1577,0,-0.00049281,1.921e-05,-0.0008879,-0.00029001
1682899500000,29287.3,29313.2,29266.2,29299.7,2380.142,1682899799999,69707863.0209,21623,1549.795,45389397.8549,0,-0.00024477,-4.28e-06,-0.00066366,-0.00047214
1682899800000,29299.7,29309.9,29257.7,29280.8,964.682,1682900099999,28248121.5538,12516,401.742,11764182.4296,0,-0.00036793,-7.359e-05,-0.00071356,-0.00030377
1682900100000,29280.7,29305.0,29267.9,29268.0,1446.561,1682900399999,42374202.3487,14727,697.443,20430949.0849,0,-0.00030344,-0.00021097,-0.00073196,-0.00041045
1682900400000,29267.9,29285.0,29260.0,29283.0,915.848,1682900699999,26807954.7609,9726,356.038,10421698.5718,0,-0.00036888,-7.765e-05,-0.00059964,-0.00037823
1682900700000,29282.9,29298.7,29252.1,29289.9,1223.149,1682900999999,35812947.5961,12361,599.991,17568198.8749,0,-0.00037833,-0.00021745,-0.00061209,-0.00037125
1682901000000,29290.0,29293.5,29270.1,29284.5,743.861,1682901299999,21780806.7161,7693,301.915,8840514.5705,0,-0.00037485,-0.00021455,-0.00066497,-0.00046333
1682901300000,29284.5,29297.5,29276.2,29294.7,696.927,1682901599999,20409874.3228,7595,466.776,13669797.3495,0,-0.0004558,-0.00022808,-0.00061593,-0.00032115
1682901600000,29294.8,29294.8,29268.2,29292.0,924.766,1682901899999,27077918.6086,8893,577.921,16921447.5015,0,-0.00032909,-0.00023238,-0.00057404,-0.00037675
1682901900000,29292.0,29325.5,29272.6,29307.7,957.032,1682902199999,28038114.019,9284,528.533,15486415.9752,0,-0.00039072,0.00013882,-0.00060178,-0.00035259
1682902200000,29307.7,29315.7,29271.3,29274.0,782.736,1682902499999,22927169.8029,8443,274.339,8036615.3077,0,-0.00032473,-0.00022692,-0.00065799,-0.0004319
1682902500000,29274.1,29307.4,29271.9,29303.3,460.663,1682902799999,13491038.3436,7013,266.304,7799018.7156,0,-0.00041489,-0.00019759,-0.0004858,-0.00033432
1682902800000,29303.3,29303.3,29286.1,29296.0,411.118,1682903099999,12044154.8613,6678,153.955,4510211.7682,0,-0.00035812,-0.00033645,-0.00058648,-0.00052715
1682903100000,29295.9,29296.0,29272.9,29272.9,352.97,1682903399999,10336283.4961,6087,122.608,3590428.6707,0,-0.00055498,-0.00036648,-0.00060201,-0.00051568
1682903400000,29273.0,29275.2,29226.0,29245.8,1396.557,1682903699999,40850092.4181,12265,444.467,12998749.5284,0,-0.00051611,-0.00023685,-0.00068415,-0.00037698
