open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1682651880000,22.267,22.278,22.24,22.271,19794,1682652059999,440540.442,759,13456,299459.719,0
1682652060000,22.271,22.276,22.241,22.241,11861,1682652239999,263972.121,488,2681,59666.739,0
1682652240000,22.242,22.25,22.182,22.243,45943,1682652419999,1020455.932,1620,22715,504663.693,0
1682652420000,22.242,22.248,22.216,22.222,14016,1682652599999,311626.036,704,6323,140585.367,0
1682652600000,22.224,22.28,22.219,22.27,19464,1682652779999,433247.274,923,13697,304862.809,0
1682652780000,22.27,22.277,22.237,22.249,19480,1682652959999,433489.331,849,8503,189231.182,0
1682652960000,22.249,22.293,22.247,22.29,17220,1682653139999,383640.819,783,10556,235172.443,0
1682653140000,22.289,22.291,22.256,22.256,15519,1682653319999,345666.814,674,5775,128631.846,0
1682653320000,22.255,22.273,22.253,22.272,8669,1682653499999,192985.577,477,4887,108791.46,0
1682653500000,22.273,22.3,22.266,22.279,15801,1682653679999,352024.496,690,6166,137366.95,0
1682653680000,22.28,22.296,22.278,22.291,14435,1682653859999,321697.509,746,8569,190966.887,0
1682653860000,22.291,22.291,22.274,22.279,9513,1682654039999,211975.743,421,3392,75579.976,0
1682654040000,22.278,22.289,22.269,22.281,13412,1682654219999,298804.546,469,5690,126763.474,0
1682654220000,22.284,22.307,22.277,22.304,16253,1682654399999,362271.15,517,13801,307631.825,0
1682654400000,22.304,22.345,22.294,22.302,40673,1682654579999,907777.53,1529,20956,467745.387,0
1682654580000,22.302,22.327,22.3,22.311,21204,1682654759999,473137.683,758,12052,268915.318,0
1682654760000,22.312,22.344,22.311,22.341,12602,1682654939999,281412.064,575,7655,170930.882,0
1682654940000,22.341,22.385,22.327,22.384,37575,1682655119999,840195.475,1405,22672,506956.607,0
1682655120000,22.382,22.39,22.37,22.375,33789,1682655299999,756261.171,1144,16723,374321.762,0
1682655300000,22.376,22.387,22.364,22.385,26699,1682655479999,597458.079,937,15879,355340.57,0
1682655480000,22.385,22.4,22.374,22.4,20230,1682655659999,452892.547,925,12553,281052.351,0
1682655660000,22.399,22.414,22.373,22.388,27516,1682655839999,616231.905,983,11881,266110.502,0
1682655840000,22.389,22.392,22.364,22.37,16007,1682656019999,358208.427,731,6950,155529.187,0
1682656020000,22.373,22.392,22.361,22.361,14105,1682656199999,315621.675,583,3866,86517.986,0
1682656200000,22.362,22.424,22.362,22.411,35296,1682656379999,790684.087,1351,18831,421829.722,0
1682656380000,22.409,22.412,22.388,22.408,25866,1682656559999,579415.989,901,12354,276743.385,0
